global_step,event,episode_return,episode_length,alpha,hover_reward_value,replay_size,critic_loss,actor_loss,logp
177,episode_end,150.82817719848464,177,0.010000000000000005,200.0,,,,
257,episode_end,-50.00038964784569,80,0.010000000000000005,200.0,,,,
352,episode_end,-136.1615563943635,95,0.010000000000000005,200.0,,,,
493,episode_end,-189.20877564296717,141,0.010000000000000005,200.0,,,,
579,episode_end,-315.36977122634664,86,0.010000000000000005,200.0,,,,
696,episode_end,-331.4889061836175,117,0.010000000000000005,200.0,,,,
813,episode_end,-119.60413159154945,117,0.010000000000000005,200.0,,,,
955,episode_end,-226.1765363335376,142,0.010000000000000005,200.0,,,,
1000,train_step,,,0.010000000000000005,200.0,1000,,,
1043,episode_end,-380.75647670372484,88,0.010000000000000005,200.0,,,,
1232,episode_end,-147.39421555195702,189,0.010000000000000005,200.0,,,,
1300,episode_end,-186.9987060876075,68,0.010000000000000005,200.0,,,,
1423,episode_end,-97.27378967780459,123,0.010000000000000005,200.0,,,,
1510,episode_end,-433.18053848497823,87,0.010000000000000005,200.0,,,,
1618,episode_end,-471.9284550677826,108,0.010000000000000005,200.0,,,,
1721,episode_end,-244.48209913744125,103,0.010000000000000005,200.0,,,,
1829,episode_end,-397.42675761896703,108,0.010000000000000005,200.0,,,,
1904,episode_end,-87.93580513483562,75,0.010000000000000005,200.0,,,,
2000,train_step,,,0.010000000000000005,200.0,2000,,,
2027,episode_end,-435.4570832970201,123,0.010000000000000005,200.0,,,,
2146,episode_end,-107.02935952337288,119,0.010000000000000005,200.0,,,,
2259,episode_end,-211.33844007729024,113,0.010000000000000005,200.0,,,,
2353,episode_end,-222.51402540423402,94,0.010000000000000005,200.0,,,,
2435,episode_end,-550.577070082499,82,0.010000000000000005,200.0,,,,
2526,episode_end,-319.5207613878159,91,0.010000000000000005,200.0,,,,
2700,episode_end,-242.19094288147997,174,0.010000000000000005,200.0,,,,
2787,episode_end,110.22618522484075,87,0.010000000000000005,200.0,,,,
2949,episode_end,-280.62212108977144,162,0.010000000000000005,200.0,,,,
3000,train_step,,,0.010000000000000005,200.0,3000,,,
